iter,acc,nmi,ari,acc_unconf,nmi_unconf,acc_conf,nmi_conf,nb_unconf,nb_conf,fr,fd,loss
0,0.55743,0.60018,0.44498,0.6862555741755901,0.79586154867235,0.4481936021613543,0.4645651416412103,35207,34793,0.84452,0.85346,0.0
140,0.54593,0.58104,0.41512,0.6473444926637735,0.7522314561964826,0.43243416006136537,0.44653532462900586,38712,31288,0.90461,0.91841,0.1223151837608644
280,0.55283,0.58103,0.41944,0.6553284058042667,0.745387757426006,0.4269130537787254,0.43107572225154794,40453,29547,0.86637,0.90196,0.07112372618700777
420,0.55506,0.58023,0.41986,0.6579207086633128,0.736998563779081,0.44013775169554065,0.42224395561313033,41543,28457,0.84148,0.89315,0.05995661640273673
560,0.55519,0.57863,0.41825,0.6588514475557665,0.7305990152853994,0.4420315865039483,0.41463518602710026,42140,27860,0.80427,0.87254,0.05363034999796323
700,0.55623,0.57855,0.41835,0.6615265637083734,0.7286815152216225,0.43997219071316185,0.410752212347666,42671,27329,0.78071,0.86868,0.04957206919789314
840,0.55674,0.57816,0.41805,0.6627766692960884,0.727249401971128,0.4382481968919622,0.40550604011009544,43102,26898,0.758,0.83957,0.046803951343255386
980,0.55851,0.57952,0.42007,0.66388078892384,0.7262350305833476,0.4394071161190305,0.404482939685698,43553,26447,0.7372,0.83204,0.044398079227123945
1120,0.55766,0.57875,0.41863,0.6639342390683868,0.7244547810063164,0.4361763022323984,0.4016002330571805,43795,26205,0.71168,0.80455,0.04273767159985645
1260,0.55857,0.57971,0.41993,0.6633021722440501,0.723502564468834,0.43489927665862954,0.39894981361442206,44286,25714,0.74188,0.81469,0.041335166964147775
1400,0.55764,0.57922,0.41883,0.6628769154720712,0.7208351486859468,0.4315917470777438,0.39739186947009153,44506,25494,0.692,0.78272,0.04060467526848827
1540,0.55794,0.57975,0.41952,0.6619114593798138,0.7201002125906706,0.42924584440829927,0.39566878669262495,44793,25207,0.71941,0.78273,0.03933157151831048
1680,0.55804,0.58007,0.41935,0.6608745889254288,0.7181788636823652,0.42762842054728756,0.39464371925586783,45004,24996,0.657,0.74757,0.038503364899328776
