iter,acc,nmi,ari,acc_unconf,nmi_unconf,acc_conf,nmi_conf,nb_unconf,nb_conf,loss
0,0.97277,0.93048,0.94046,0.9995377741256227,0.9982786388728482,0.9624572027944349,0.9085017563777226,19471,50529,0.0
140,0.98333,0.9545,0.96328,0.9991021378825014,0.9966705183477976,0.9607516237713174,0.8995042877001087,41209,28791,2.6088799033846173
280,0.98311,0.95418,0.96277,0.9989644840045827,0.9961792092969645,0.9538842840890622,0.8847674986806868,45388,24612,1.6963388775076185
420,0.97931,0.9465,0.95463,0.9990003407929116,0.9961377729534029,0.9459688281700981,0.8731341542466149,44015,25985,1.560451581648418
560,0.97957,0.94716,0.95517,0.9990202268719109,0.9962343265469679,0.9424618835943667,0.865115718186281,45929,24071,1.3833361855575017
700,0.97776,0.94345,0.9512,0.9990214625872529,0.9962698708605925,0.9370341065256319,0.8553225014834083,45987,24013,1.3640105068683623
840,0.97659,0.94132,0.94865,0.9990851068464505,0.9964513776007513,0.9337151869837712,0.8482329738657298,45907,24093,1.2369848306689943
980,0.976,0.94128,0.94758,0.9988957692807344,0.995789955548672,0.9315948601662888,0.8456879418557245,46186,23814,1.2603348131690706
1120,0.97496,0.93887,0.9452,0.9988964621876014,0.9957230714704981,0.9284422955644314,0.8393941193292325,46215,23785,1.1699143035071238
1260,0.97483,0.93899,0.94505,0.998893122458971,0.9957046906363463,0.9257199947873681,0.8345652917948632,46979,23021,1.1793953763587135
1400,0.97559,0.93971,0.94662,0.9988462771071467,0.9955061039297886,0.9286484156068118,0.837258685696134,46805,23195,1.1073038492883955
1540,0.97104,0.93547,0.93759,0.998840579710145,0.9955381334235693,0.9157737459978655,0.8248538686616912,46575,23425,1.1442919428859437
1680,0.97271,0.93549,0.94057,0.9989084371388212,0.9957140502117137,0.9201391872153966,0.8270368045031108,46722,23278,1.077886493716921
1820,0.9706,0.93367,0.9365,0.9989041920027503,0.9957121474413998,0.9144464810946759,0.8199638049757083,46541,23459,1.1068302767617362
